### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 劳尔·兰赫尔（Raul Rangel） | 瓜达拉哈拉 | 18 |
| 门将 | 卡洛斯·阿塞韦多（Carlos Acevedo） | 桑托斯拉古纳 | 0（暂未查到） |
| 门将 | 吉列尔莫·奥乔亚（Guillermo Ochoa） | AEL利马索尔 | 153 |
| 后卫 | 豪尔赫·桑切斯（Jorge Sanchez） | 塞萨洛尼基 | 近30场 |
| 后卫 | 塞萨尔·蒙特斯（Cesar Montes） | 莫斯科火车头 | 64 |
| 后卫 | 约翰·巴斯克斯（Johan Vasquez） | 热那亚 | 29 |
| 后卫 | 伊斯雷尔·雷耶斯（Israel Reyes） | 美洲队 | 31 |
| 后卫 | 马特奥·查韦斯（Mateo Chavez） | 阿尔克马尔 | 0（暂未查到） |
| 后卫 | 赫苏斯·加利亚多（Jesus Gallardo） | 托卢卡 | 约100场 |
| 中场 | 埃德松·阿尔瓦雷斯（Edson Alvarez） | 费内巴切 | 96 |
| 中场 | 路易斯·罗莫（Luis Romo） | 瓜达拉哈拉 | — |
| 中场 | 阿尔瓦罗·菲达尔戈（Alvaro Fidalgo） | 皇家贝蒂斯 | 4场 |
| 中场 | 布里安·古铁雷斯（Brian Gutierrez） | 瓜达拉哈拉 | — |
| 中场 | 奥韦林·皮内达（Orbelin Pineda） | 雅典AEK | 近50场 |
| 中场 | 奥贝德·巴尔加斯（Obed Vargas） | 马德里竞技 | 5场 |
| 中场 | 希尔韦托·莫拉（Gilberto Mora） | 蒂华纳 | 7 |
| 中场 | 埃里克·利拉（Erik Lira） | 蓝十字 | 19 |
| 中场 | 路易斯·查韦斯（Luis Chavez） | 莫斯科迪纳摩 | 约20场以上 |
| 中场 | 塞萨尔·韦尔塔（Cesar Huerta） | 安德莱赫特 | 26场 |
| 前锋 | 劳尔·希门尼斯（Raul Jimenez） | 富勒姆 | 125-126场 |
| 前锋 | 亚历克西斯·贝加（Alexis Vega） | 托卢卡 | 16场以上 |
| 前锋 | 圣地亚哥·希门尼斯（Santiago Gimenez） | AC米兰 | 32场 |
| 前锋 | 阿曼多·冈萨雷斯（Armando Gonzalez） | 瓜达拉哈拉 | 7场 |
| 前锋 | 胡利安·基尼奥内斯（Julian Quinones） | 胡拜尔库迪西亚 | 22场 |
| 前锋 | 罗伯托·阿尔瓦拉多（Roberto Alvarado） | 瓜达拉哈拉 | 62场 |
| 前锋 | 吉列尔莫·马丁内斯（Guillermo Martinez） | 墨西哥美洲狮 | 0（暂未查到） |
---
### 韩国队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 金承奎（Kim Seung-gyu） | FC东京 | 87场 |
| 门将 | 宋范根（Song Bum-keun） | 全北现代 | 1场 |
| 门将 | 赵贤祐（Jo Hyeon-woo） | 蔚山HD | 11场 |
| 后卫 | 金玟哉（Kim Min-jae） | 拜仁慕尼黑 | 64场 |
| 后卫 | 金太铉（Kim Tae-hyeon） | 鹿岛鹿角 | 0场（首次入选） |
| 后卫 | 李汉范（Lee Han-beom） | 中日德兰 | 1场 |
| 后卫 | 李太锡（Lee Tae-seok） | 奥地利维也纳 | 1场 |
| 后卫 | 赵佑民（Cho Yu-min） | — | 5场 |
| 后卫 | 金纹焕（Kim Moon-hwan） | 大田韩亚市民 | 33场 |
| 后卫 | 朴镇燮（Park Jin-seob） | 浙江队 | 14场 |
| 后卫 | 薛英佑（Seol Young-woo） | 贝尔格莱德红星 | 26场 |
| 后卫 | 延斯·卡斯特罗普（Jens Castrop） | 门兴格拉德巴赫 | 5 |
| 中场 | 黄仁范（Hwang In-beom） | 费耶诺德 | 60场 |
| 中场 | 白昇浩（Paik Seung-ho） | 伯明翰 | 15场 |
| 中场 | 李在城（Lee Jae-sung） | 美因茨 | 102场 |
| 中场 | 黄喜灿（Hwang Hee-chan） | 狼队 | 59场 |
| 中场 | 李刚仁（Lee Kang-in） | 巴黎圣日耳曼 | 88场 |
| 中场 | 裴峻浩（Bae Jun-ho） | 斯托克城 | 11场 |
| 中场 | 杨贤俊（Yang Hyun-jun） | 凯尔特人 | 6场 |
| 中场 | 金镇圭（Kim Jin-gyu） | 全北现代 | — |
| 中场 | 严智星（Eom Ji-sung） | 斯旺西 | — |
| 中场 | 李东炅（Lee Dong-gyeong） | 蔚山HD | 16场 |
| 中场 | 李基赫（Lee Ki-hyuk） | 江原FC | 1场 |
| 前锋 | 孙兴慜（Son Heung-min） | 洛杉矶FC | 143 |
| 前锋 | 曹圭成（Cho Gue-sung） | 中日德兰 | 24场 |
| 前锋 | 吴贤揆（Oh Hyeon-gyu） | 贝西克塔斯 | 24场 |
---
### 南非队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 罗恩文·威廉姆斯（Ronwen Williams） | 马梅洛迪日落 | — |
| 门将 | 西波·查因（Sipho Chaine） | 奥兰多海盗 | 1场 |
| 门将 | 里卡多·戈斯（Ricardo Goss） | 西韦莱莱 | — |
| 后卫 | 塔邦·马图鲁迪（Thabang Matuludi） | 波罗克瓦尼城 | — |
| 后卫 | 库卢马尼·恩达马内（Khulumani Ndamane） | 马梅洛迪日落 | — |
| 后卫 | 奥布里·莫迪巴（Aubrey Modiba） | 马梅洛迪日落 | — |
| 后卫 | 姆贝凯泽利·姆博卡齐（Mbekezeli Mbokazi） | 芝加哥火焰 | — |
| 后卫 | 萨穆凯莱·卡比尼（Samukele Kabini） | 莫尔德 | — |
| 后卫 | 恩科西纳蒂·西比西（Nkosinathi Sibisi） | 奥兰多海盗 | 6场 |
| 后卫 | 胡利索·穆道（Khuliso Mudau） | 马梅洛迪日落 | — |
| 后卫 | 伊梅·奥孔（Ime Okon） | 汉诺威 | — |
| 后卫 | 奥尔韦图·马坎亚（Olwethu Makhanya） | 费城联合 | 1场 |
| 后卫 | 布拉德利·克罗斯（Bradley Cross） | 凯泽酋长 | — |
| 中场 | 特博霍·莫科纳（Teboho Mokoena） | 马梅洛迪日落 | 53 |
| 中场 | 塔伦特·姆巴塔（Thalente Mbatha） | 奥兰多海盗 | — |
| 中场 | 斯费菲洛·西索尔（Sphephelo Sithole） | 通德拉 | — |
| 中场 | 杰登·亚当斯（Jayden Adams） | 马梅洛迪日落 | 3场 |
| 中场 | 卡莫吉洛·塞贝莱贝莱（Kamogelo Sebelebele） | 奥兰多海盗 | — |
| 中场 | 切庞·莫雷米（Tshepang Moremi） | 奥兰多海盗 | — |
| 前锋 | 奥斯温·阿波利斯（Oswin Appollis） | 奥兰多海盗 | 24场 |
| 前锋 | 莱尔·福斯特（Lyle Foster） | 伯恩利 | 26 |
| 前锋 | 雷莱博希莱·莫福肯（Relebohile Mofokeng） | 奥兰多海盗 | 13 |
| 前锋 | 塔佩洛·马塞科（Thapelo Maseko） | AEL利马索尔 | — |
| 前锋 | 伊克拉姆·雷纳斯（Iqraam Rayners） | 马梅洛迪日落 | — |
| 前锋 | 埃维登斯·马克戈帕（Evidence Makgopa） | 奥兰多海盗 | — |
| 前锋 | 滕巴·兹瓦内（Themba Zwane） | 马梅洛迪日落 | 47场 |
---
### 捷克队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 马捷·科瓦日（Matej Kovar） | 埃因霍温 | 19 |
| 门将 | 因德日希·斯坦涅克（Jindrich Stanek） | 布拉格斯拉维亚 | 14 |
| 门将 | 卢卡什·霍尔尼切克（Lukas Hornicek） | 布拉加 | 1 |
| 后卫 | 弗拉基米尔·曹法尔（Vladimir Coufal） | 霍芬海姆 | 61 |
| 后卫 | 托马斯·霍莱什（Tomas Holes） | 布拉格斯拉维亚 | 40 |
| 后卫 | 拉迪斯拉夫·克雷伊奇（Ladislav Krejci） | 狼队 | 26 |
| 后卫 | 罗宾·赫拉纳奇（Robin Hranac） | 霍芬海姆 | 15 |
| 后卫 | 大卫·齐马（David Zima） | 布拉格斯拉维亚 | 33场 |
| 后卫 | 斯捷潘·哈劳佩克（Stepan Chaloupek） | 布拉格斯拉维亚 | — |
| 后卫 | 大卫·尤拉塞克（David Jurasek） | 布拉格斯拉维亚 | — |
| 后卫 | 雅罗斯拉夫·泽莱尼（Jaroslav Zeleny） | 布拉格斯巴达 | 17场 |
| 后卫 | 大卫·杜德拉（David Doudera） | 布拉格斯拉维亚 | 15场 |
| 中场 | 托马斯·绍切克（Tomas Soucek） | 西汉姆联 | 89 |
| 中场 | 弗拉基米尔·达里达（Vladimir Darida） | — | 76场 |
| 中场 | 卢卡什·切尔夫（Lukas Cerv） | — | — |
| 中场 | 卢卡什·普罗沃德（Lukas Provod） | — | 38场 |
| 中场 | 米哈尔·萨迪莱克（Michal Sadilek） | — | 33场 |
| 中场 | 亚历山大·索伊卡（Alexandr Sojka） | — | — |
| 中场 | 帕维尔·舒尔茨（Pavel Sulc） | — | — |
| 中场 | 丹尼斯·维希恩斯基（Denis Visinsky） | — | — |
| 中场 | 胡戈·索胡雷克（Hugo Sochurek） | — | — |
| 前锋 | 帕特里克·希克（Patrik Schick） | — | 52 |
| 前锋 | 亚当·赫洛热克（Adam Hlozek） | — | — |
| 前锋 | 托马斯·霍里（Tomas Chory） | — | — |
| 前锋 | 莫伊米尔·希季尔（Mojmir Chytil） | — | — |
| 前锋 | 扬·库赫塔（Jan Kuchta） | — | — |
---
### 加拿大队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 达尼·圣克莱尔（Dani St. Clair） | 迈阿密国际 | 19 |
| 门将 | 马克西姆·克雷波（Maxime Crépeau） | 奥兰多城 | 30 |
| 门将 | 欧文·古德曼（Owen Goodman） | 巴恩斯利 | 0 |
| 后卫 | 阿方索·戴维斯（Alphonso Davies） | 拜仁慕尼黑 | 58 |
| 后卫 | 阿里斯特·约翰斯顿（Alistair Johnston） | 凯尔特人 | 56 |
| 后卫 | 德雷克·科内柳斯（Derek Cornelius） | 马赛 | 40 |
| 后卫 | 里奇·拉耶（Richie Laryea） | 多伦多FC | 74 |
| 后卫 | 尼科·西古尔（Niko Sigur） | 哈伊杜克 | 15 |
| 后卫 | 乔尔·沃特曼（Joel Waterman） | 芝加哥火焰 | 17 |
| 后卫 | 吕克·德富格罗莱斯（Luc de Fougerolles） | 登德 | 13 |
| 后卫 | 莫伊斯·波姆比托（Moïse Bombito） | 尼斯 | 20 |
| 后卫 | 阿尔菲·琼斯（Alfie Jones） | 米德尔斯堡 | — |
| 中场 | 伊斯梅尔·科内（Ismaël Koné） | 萨索洛 | 42 |
| 中场 | 阿里·艾哈迈德（Ali Ahmed） | 诺维奇 | 22 |
| 中场 | 布坎南（Tajon Buchanan） | 比利亚雷亚尔 | 57 |
| 中场 | 马修·舒瓦尼埃（Mathieu Choinière） | 洛杉矶FC | 23 |
| 中场 | 史蒂芬·欧斯塔基奥（Stephen Eustáquio） | 洛杉矶FC | 54 |
| 中场 | 马塞洛·弗洛雷斯（Marcelo Flores） | 老虎大学 | 2 |
| 中场 | 利亚姆·米拉尔（Liam Millar） | 赫尔城 | 36 |
| 中场 | 乔纳森·奥索里奥（Jonathan Osorio） | 多伦多FC | 90 |
| 中场 | 内森·萨利巴（Nathan Saliba） | 安德莱赫特 | 5 |
| 中场 | 沙菲尔博格（Jacob Shaffelburg） | 洛杉矶FC | 31 |
| 前锋 | 乔纳森·戴维（Jonathan David） | 尤文图斯 | 79 |
| 前锋 | 普罗米斯·戴维（Promise David） | 圣吉罗斯 | 8 |
| 前锋 | 凯尔·拉林（Cyle Larin） | 南安普顿 | 89 |
| 前锋 | 奥卢瓦塞伊（Tani Oluwaseyi） | 比利亚雷亚尔 | 15 |
---
### 瑞士队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 格雷戈·科贝尔（Gregor Kobel） | 多特蒙德 | 22 |
