球员  国籍  年龄  身价（欧元）  所属俱乐部  位置 
奥利弗·鲍曼 (Oliver Baumann)  德国  35岁  300万  霍芬海姆  门将 
曼努埃尔·诺伊尔 (Manuel Neuer)  德国  40岁  400万  拜仁慕尼黑  门将 
亚历山大·努贝尔 (Alexander Nubel)  德国  29岁  1200万  斯图加特  门将 
瓦尔德马·安东 (Waldemar Anton)  德国  29岁  1800万  多特蒙德  后卫 
纳撒尼尔·布朗 (Nathaniel Brown)  德国  22岁  3500万  法兰克福  后卫 
帕斯卡尔·格罗斯 (Pascal Gross)  德国  34岁  350万  布莱顿  后卫 
约书亚·基米希 (Joshua Kimmich)  德国  31岁  4000万  拜仁慕尼黑  后卫 
大卫·劳姆 (David Raum)  德国  28岁  2200万  RB莱比锡  后卫 
安东尼奥·吕迪格 (Antonio Rudiger)  德国  33岁  900万  皇家马德里  后卫 
尼科·施洛特贝克 (Nico Schlotterbeck)  德国  26岁  5500万  多特蒙德  后卫 
约纳坦·塔 (Jonathan Tah)  德国  30岁  3000万  拜仁慕尼黑  后卫 
马利克·蒂亚夫 (Malick Thiaw)  德国  24岁  4500万  纽卡斯尔联  后卫 
纳迪姆·阿米里 (Nadiem Amiri)  德国  29岁  1700万  美因茨  中场 
莱昂·格雷茨卡 (Leon Goretzka)  德国  31岁  1500万  拜仁慕尼黑  中场 
贾马尔·穆西亚拉 (Jamal Musiala)  德国  23岁  1亿  拜仁慕尼黑  中场 
费利克斯·恩梅查 (Felix Nmecha)  德国  25岁  5000万  多特蒙德  中场 
亚历山大·帕夫洛维奇 (Aleksandar Pavlović)  德国  22岁  7500万  拜仁慕尼黑  中场 
伦纳特·卡尔 (Lennart Karl)  德国  18岁  6000万  拜仁慕尼黑  中场 
杰米·勒韦林 (Jamie Leweling)  德国  **25岁**  4000万  斯图加特  中场 
安杰洛·施蒂勒 (Angelo Stiller)  德国  25岁  4500万  斯图加特  中场 
弗洛里安·维尔茨 (Florian Wirtz)  德国  **23岁**  1.1亿  利物浦  中场 
马克西米利安·拜尔 (Maximilian Beier)  德国  **23岁**  4000万  多特蒙德  前锋 
凯·哈弗茨 (Kai Havertz)  德国  **27岁**  5000万  阿森纳  前锋 
勒鲁瓦·萨内 (Leroy Sané)  德国  30岁  2200万  加拉塔萨雷  前锋 
德尼兹·翁达夫 (Deniz Undav)  德国  **29岁**  2200万  斯图加特  前锋 
尼克·沃尔特马德 (Nick Woltemade)  德国  **24岁**  6500万  纽卡斯尔联  前锋 
巴尔特·费布鲁亨 (Bart Verbruggen)  荷兰  23岁  4000万  布莱顿  门将 
罗宾·罗埃夫斯 (Robin Roefs)  荷兰  23岁  2500万  桑德兰  门将 
马克·弗莱肯 (Mark Flekken)  荷兰  32岁  600万  勒沃库森  门将 
尤里恩·廷贝尔 (Jurriën Timber)  荷兰  24岁  7000万  阿森纳  后卫 
米基·范德芬 (Micky van de Ven)  荷兰  25岁  6500万  热刺  后卫 
扬·保罗·范赫克 (Jan Paul van Hecke)  荷兰  25岁  3500万  布莱顿  后卫 
乔雷尔·哈托 (Jorrel Hato)  荷兰  20岁  3500万  切尔西  后卫 
丹泽尔·邓弗里斯 (Denzel Dumfries)  荷兰  30岁  2500万  国际米兰  后卫 
马茨·魏费尔 (Mats Wieffer)  荷兰  26岁  2500万  布莱顿  后卫 
维吉尔·范戴克 (Virgil van Dijk)  荷兰  34岁  1800万  利物浦  后卫 
内森·阿克 (Nathan Aké)  荷兰  31岁  1500万  曼城  后卫 
瑞安·赫拉芬贝赫 (Ryan Gravenberch)  荷兰  23岁  9000万  利物浦  中场 
蒂贾尼·赖因德斯 (Tijjani Reijnders)  荷兰  27岁  6000万  曼城  中场 
弗伦基·德容 (Frenkie de Jong)  荷兰  29岁  4500万  巴塞罗那  中场 
昆滕·廷贝尔 (Quinten Timber)  荷兰  24岁  2500万  马赛  中场 
特恩·库普梅纳斯 (Teun Koopmeiners)  荷兰  28岁  2000万  尤文图斯  中场 
古斯·蒂尔 (Guus Til)  荷兰  28岁  1500万  埃因霍温  中场 
马滕·德容恩 (Marten de Roon)  荷兰  35岁  350万  亚特兰大  中场 
科迪·加克波 (Cody Gakpo)  荷兰  27岁  6500万  利物浦  前锋 
克里森西奥·萨默维尔 (Crysencio Summerville)  荷兰  24岁  3500万  西汉姆联  前锋 
唐耶尔·马伦 (Donyell Malen)  荷兰  27岁  3500万  罗马  前锋 
贾斯汀·克鲁伊维特 (Justin Kluivert)  荷兰  27岁  3000万  伯恩茅斯  前锋 
布赖恩·布罗比 (Brian Brobbey)  荷兰  24岁  2500万  桑德兰  前锋 
诺阿·朗 (Noa Lang)  荷兰  26岁  2200万  加拉塔萨雷  前锋 
孟菲斯·德佩 (Memphis Depay)  荷兰  32岁  700万  科林蒂安  前锋 
沃特·韦格霍斯特 (Wout Weghorst)  荷兰  33岁  250万  阿贾克斯  前锋 
维克托·约翰松 (Viktor Johansson)	瑞典	27岁	400万	斯托克城	门将
克里斯托弗·诺德菲尔特 (Kristoffer Nordfeldt)	瑞典	36岁	18万	AIK索尔纳	门将
雅各布·维德尔·泽特斯特伦 (Jacob Widell Zetterström)	瑞典	27岁	330万	德比郡	门将
希尔马·埃克达尔 (Hjalmar Ekdal)	瑞典	27岁	680万	伯恩利	中后卫
加布里埃尔·古德蒙松 (Gabriel Gudmundsson)	瑞典	27岁	1870万	利兹联	左后卫/左翼卫
伊萨克·希恩 (Isak Hien)	瑞典	27岁	3400万	亚特兰大	中后卫
赫尔曼·约翰松 (Herman Johansson)	瑞典	28岁	100万	达拉斯FC	右中场
古斯塔夫·拉格比耶尔克 (Gustaf Lagerbielke)	瑞典	25岁	240.8万	布拉加	中后卫
维克托·林德勒夫 (Victor Lindelöf)	瑞典	31岁	600万	阿斯顿维拉	中后卫
埃里克·史密斯 (Eric Smith)	瑞典	29岁	500万	圣保利	中后卫
卡尔·斯塔费尔特 (Carl Starfelt)	瑞典	30岁	1150万	塞尔塔	后卫
埃利奥特·斯特劳德 (Elliot Stroud)	瑞典	23岁	500万	米亚尔比	左中场
丹尼尔·斯文松 (Daniel Svensson)	瑞典	24岁	2350万	多特蒙德	左翼卫
塔哈·阿里 (Taha Ali)	瑞典	27岁	120万	马尔默	前锋
亚辛·阿亚里 (Yasin Ayari)	瑞典	22岁	3500万	布莱顿	防守型中场
卢卡斯·贝里瓦尔 (Lucas Bergvall)	瑞典	20岁	3500万	热刺	中场
